기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,총_유동인구_수,2030비율,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,주말_유동인구_수,야간_유동인구_수,전체유동점수,2030핫플점수,주말점수,야간점수,핫플점수
2025,1,3110850,사당역 10번,2476530.0,43.843522993866415,412308.0,337546.0,352763.0,372787.0,371644.0,744431.0,749854.0,95.5509488119917,85.07415085313347,96.12501993302503,95.5509488119917,92.5227236485409
2025,1,3110851,경문고등학교(동작동성당),1134716.0,24.14947881231956,169332.0,162233.0,157810.0,164472.0,172253.0,336725.0,331565.0,74.26247807367245,14.383670865890608,75.76144155637058,73.86381757295487,56.53882953276989
2025,1,3110852,이수역 9번,668085.0,41.29339829512711,107924.0,84589.0,99014.0,95334.0,89960.0,185294.0,192513.0,55.302184659543926,80.2264391644076,54.79189921862542,54.313506617764304,62.52910221655238
2025,1,3110853,KT구로지사,1908596.0,46.07575411454284,338867.0,207151.0,289361.0,233750.0,226610.0,460360.0,546018.0,91.02216552383989,88.53452399936215,86.81231063626215,90.36836230266306,89.3358316058045
2025,1,3110854,조원동주민센터,347192.0,39.64981912025623,48396.0,48636.0,48485.0,50577.0,52239.0,102816.0,97032.0,33.742624780736726,76.38335193749003,35.608355924095044,32.626375378727474,46.740551746132994
2025,1,3110855,신대방역 2번,1192549.0,46.66500076726407,219358.0,168976.0,167912.0,179701.0,181641.0,361342.0,388334.0,76.11226279700207,89.60293414128529,78.36070802104928,79.93940360389092,81.1832243661298
2025,1,3110856,미성초등학교,788712.0,37.45017192587408,126197.0,105637.0,109934.0,119150.0,119261.0,238411.0,231834.0,61.29803859033647,70.4353372667836,64.0886620953596,61.824270451283695,64.67628767341732
2025,1,3110857,미성동주민센터,1105511.0,27.09208682681584,167615.0,146527.0,153880.0,161929.0,157192.0,319121.0,314142.0,73.48110349226599,28.40057407112103,74.03922819327062,72.14160420985489,59.867644713761756
2025,1,3110858,신대방역 1번,580743.0,45.52392366330717,109154.0,84980.0,81775.0,87431.0,85712.0,173143.0,194134.0,50.055812470100456,87.78504225801308,52.415882634348584,54.68027427842449,62.54026471057247
2025,1,3110859,난향초등학교,524736.0,22.708562019758507,80590.0,67299.0,71576.0,76489.0,80427.0,156916.0,147889.0,46.420028703556056,9.10540583638973,48.90767022803381,45.35161856163291,35.562908627013236
2025,1,3110860,호림박물관(성보고등학교),566535.0,39.60479052485725,83946.0,69289.0,80354.0,80107.0,84067.0,164174.0,153235.0,49.24254504863658,76.2557805772604,50.486365810875455,46.35624302344124,57.162334555892194
2025,1,3110861,관악구신사동주민센터,1802948.0,45.58645063529286,271855.0,246531.0,251635.0,270017.0,276244.0,546261.0,518386.0,89.6507734013714,87.8488279381279,91.67596874501675,88.96507734013714,89.41237442194227
2025,1,3110862,난곡초등학교(난곡동벽화마을),488460.0,27.13384924047005,90287.0,64876.0,68144.0,72060.0,73339.0,145399.0,155163.0,43.9323871790783,28.687609631637695,46.05326104289587,46.75490352415883,40.20650613937171
2025,1,3110863,난우초등학교,673309.0,26.714777316209943,111442.0,97371.0,92510.0,96489.0,108251.0,204740.0,208813.0,55.621113060118,26.67836070802105,58.714718545686495,57.8217190240791,47.88709934619678
2025,1,3110864,신림우방아파트,1507201.0,42.560083227121,205173.0,200666.0,209552.0,221598.0,232176.0,453774.0,405839.0,84.7392760325307,82.68218784882794,86.34986445542975,81.82108116727794,84.00653803221176
2025,1,3110865,남강고등학교(남강중학교),2114269.0,28.117283089332528,352136.0,293765.0,294611.0,310541.0,317284.0,627825.0,645901.0,93.2865571679158,34.39642800191357,94.11577100940839,93.7011640886621,75.8475522245256
2025,1,3110866,난우중학교,1156935.0,26.020735823533737,166027.0,157385.0,160673.0,168034.0,173298.0,341332.0,323412.0,74.96412055493542,23.170148301706266,76.33551267740393,73.1143358316058,59.42273959496093
2025,1,3110867,국제신학대학원대학교(남서울중학교),1176654.0,51.60692947969412,190973.0,161636.0,163497.0,177045.0,184830.0,361875.0,352609.0,75.57008451602614,94.30712804975283,78.4563865412215,75.87306649657151,81.81390527826503
2025,1,3110868,남부초등학교,713762.0,50.7124223480656,120385.0,97883.0,98655.0,106679.0,113096.0,219775.0,218268.0,57.77387976399299,93.54169988837506,61.497368840695266,59.52798596715038,69.51203954712167
2025,1,3110869,"신림역 5번(신림동주민센터, 신림동별빛거리)",4242229.0,63.94687792667487,674669.0,595501.0,584860.0,652057.0,673631.0,1325688.0,1270170.0,98.85185775793335,99.45782171902408,99.31430393876575,98.6605007175889,99.09743262637537
2025,1,3110870,신림주공2단지(광신고등학교),347869.0,18.678295565284632,35693.0,54952.0,49611.0,48052.0,49363.0,97415.0,90645.0,33.82235688088024,1.3235528623823951,33.93398182108117,30.90416201562749,23.65731143358316
2025,1,3110871,신원동주민센터,692403.0,45.88859378136721,114884.0,91506.0,94583.0,105978.0,113426.0,219404.0,206390.0,56.625737521926325,88.27938127890289,61.45750279062351,57.359272843246686,67.19821400095678
2025,1,3110872,신림초등학교,878889.0,41.82792138711487,101737.0,122763.0,122489.0,125916.0,133592.0,259508.0,224500.0,65.52383989794292,81.32674214638813,67.11848190081326,60.62828894913091,69.84930633072875
2025,1,3110873,당곡중학교,669718.0,40.28187983599067,111574.0,82437.0,97738.0,90596.0,93165.0,183761.0,194011.0,55.46164885983097,77.83447616010206,54.40918513793653,54.600542178280975,61.83383830330091
2025,1,3110874,원신초등학교(구세군관악영문교회),1780457.0,35.633267189266576,321154.0,246313.0,252046.0,258037.0,258041.0,516078.0,567467.0,89.2202200605964,65.12517939722532,90.06538032211768,91.07000478392601,82.43820762238877
2025,1,3110875,보라매동주민센터(당곡고등학교),191620.0,37.01075044358627,24345.0,24981.0,25748.0,28670.0,30620.0,59290.0,49326.0,19.550310955190557,69.0639451443151,21.511720618721096,17.190240790942433,34.44267261999681
2025,1,3110876,서원동주민센터(신관중학교),448811.0,48.21450454645719,71565.0,58869.0,62185.0,67488.0,70158.0,137646.0,130434.0,41.253388614256096,91.5165045447297,44.25131557965237,41.09392441396906,56.907989156434375
2025,1,3110877,신림역 8번,1303068.0,53.78614162883287,218584.0,174604.0,179868.0,198485.0,201774.0,400259.0,393188.0,79.397225322915,96.02934141285282,82.00446499760804,80.60915324509648,85.09009727316217
