상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드_명,행정동_코드_명,경도,위도
3110160,광진경찰서,207370,449364,광진구,구의1동,127.08339573336079,37.543758173937306
3110137,성수초등학교,205519,449630,성동구,성수2가3동,127.06245263029955,37.54616776510738
3110138,송정체육공원,205936,450143,성동구,송정동,127.06717551903371,37.550787295336974
3110139,자양4동주민센터,205610,448404,광진구,자양4동,127.06347301482698,37.53512096389572
3110140,건대입구역 6번,205807,448790,광진구,자양4동,127.06570497470408,37.538597604470354
3110141,건대입구역 1번,205871,449295,광진구,화양동,127.06643315762537,37.54314724564189
3110142,화양사거리,206028,449645,광진구,화양동,127.06821255940088,37.54629972809252
3110144,어린이대공원역 4번,206355,449631,광진구,화양동,127.07191275197118,37.54617139278924
3110145,장안초등학교,206431,449938,광진구,군자동,127.07277545132337,37.548936930148834
3110146,신자초등학교,206474,448005,광진구,자양3동,127.07324501528619,37.531520314025855
3110147,능동우편취급국,206519,450742,광진구,군자동,127.07377843003759,37.55618033078989
3110148,어린이대공원역 3번,206673,449538,광진구,화양동,127.07551037056552,37.545331218019335
3110149,세종대학교,206730,450336,광진구,군자동,127.07616268636023,37.55252076660446
3110150,중곡1동 마을마당,206780,451324,광진구,중곡1동,127.0767376585975,37.56142224668868
3110151,자양한강도서관,206813,447963,광진구,자양2동,127.07707997341757,37.531139452835596
3110152,중곡어린이공원,206897,451708,광진구,중곡1동,127.07806550149179,37.56488120178216
3110153,중곡1동주민센터,207018,451220,광진구,중곡1동,127.0794304023093,37.56048342937615
3110156,군자역 5번,207110,450472,광진구,능동,127.08046441912305,37.55374327045005
3110174,아차산역 1번,208044,450658,광진구,중곡4동,127.0910365963174,37.55541144781092
3110175,푸른동산공원,208057,449077,광진구,구의3동,127.0911663709489,37.541166562279685
3110178,장로회신학대학교,209139,449838,광진구,광장동,127.1034188452257,37.548013069290455
3110179,광나루역 1번,209122,449629,광진구,광장동,127.10322387327058,37.54613015293001
3110154,광진정말공원,206980,448178,광진구,자양1동,127.07897139566221,37.53307535534298
3110155,광진구청,207007,448746,광진구,자양1동,127.07928228984191,37.53819282960434
3110161,중곡역 3번,207394,452066,광진구,중곡3동,127.08369452966215,37.56810291017622
3110162,군자역 4번,207315,450952,광진구,중곡2동,127.08278920214391,37.55806645047751
3110143,뚝섬유원지역 1번,206062,448266,광진구,자양3동,127.06858591973413,37.53387472420694
3110176,해오름공원,208142,450925,광진구,중곡4동,127.09214865556346,37.557816247579865
3110177,동의초등학교,208409,450329,광진구,구의2동,127.09516364702064,37.55244391167489
3110163,성자초등학교,207457,447914,광진구,자양2동,127.08436546700541,37.53069298250582
3110164,아차산역 5번,207531,450418,광진구,능동,127.08522834987414,37.55325338910614
3110165,국립정신건강센터,207575,451405,광진구,중곡2동,127.08573648594626,37.56214586200675
3110166,구의1동주민센터,207558,449057,광진구,구의1동,127.08551989838477,37.54099058656442
3110167,용마초등학교,207600,450940,광진구,중곡2동,127.08601462792421,37.557956025147156
3110168,대원고등학교,207751,451529,광진구,중곡4동,127.0877298231472,37.563261633023764
3110169,성동초등학교,207787,448123,광진구,자양2동,127.08810116387241,37.532573346901124
3110170,동대부여고,207834,449143,광진구,구의1동,127.08864379358764,37.54176314249194
3110171,중곡4동주민센터,207882,451145,광진구,중곡4동,127.08920842188094,37.55980069876591
3110172,광진초등학교,207912,449734,광진구,구의2동,127.08953275126271,37.5470873761971
3110173,구남초등학교,208034,448444,광진구,구의3동,127.09089919867607,37.53546343842295
3110180,광진정보도서관,209612,449948,광진구,광장동,127.10877284422423,37.54899935681124
3110181,신설동역 9번,202420,452524,동대문구,용신동,127.02739410669473,37.57225595717022
3110182,용두희망어린이공원,202420,453440,동대문구,용신동,127.02739713026659,37.58050906531533
3110183,한국의류시험연구원,202502,453159,동대문구,용신동,127.0283245035762,37.577977053366055
3110206,텃골근린공원,204578,453280,동대문구,전농1동,127.05182711868238,37.57905927730038
3110207,시립대앞사거리,204615,453829,동대문구,전농1동,127.05224944885282,37.5840055457555
3110208,시조사삼거리,204642,454283,동대문구,회기동,127.05255800941232,37.58809591637845
3110209,답십리 장령당공원,204595,452273,동대문구,답십리1동,127.05201326325202,37.569986179498024
