상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,평균_점포_수,평균_점포당_월매출,평균_총_유동인구,평균_2030비율,평균_폐업비율,평균_창업추천점수,추천순위
3120188,압구정역,CS200029,네일숍,9.0,145849.65740740742,2152676.5,33.372045479004626,2.7777777777777777,39.75883525243579,14949
3120014,종로5가역,CS200016,당구장,5.0,3173560.8166666664,850026.25,33.93361776623652,10.0,39.757669028638915,14950
3110237,메가박스 상봉,CS200037,노래방,14.75,6729768.052331349,805317.75,29.279171863900423,5.357142857142857,39.754797756126365,14951
3111073,둔촌동역 1번(한산중학교),CS300036,조명용품,4.0,496164.5625,3094089.25,26.824453972278206,0.0,39.75444346028934,14952
3110641,공항고등학교,CS200026,자동차미용,3.0,13374639.861111112,350608.5,24.320966619782453,0.0,39.75302627694124,14953
3120165,서래마을카페거리(서래마을),CS100008,분식전문점,5.0,8839608.433333334,779819.75,19.45885767370495,0.0,39.75016976675524,14954
3110139,자양4동주민센터,CS200028,미용실,14.25,446844.9511904762,1944128.5,32.44921130771385,1.7857142857142856,39.74964570416298,14955
3110415,수락산역 4번,CS200028,미용실,33.25,4103993.7456922163,1850179.0,23.72346386884762,3.0303030303030303,39.74909211691762,14956
3111046,마천역(마천초등학교),CS100008,분식전문점,14.0,5052737.982142857,1631252.25,21.70964129426244,7.142857142857142,39.74881901387659,14957
3130129,장미원골목시장,CS300001,슈퍼마켓,4.25,16884549.037499998,294095.5,21.54513069721363,0.0,39.74685562444641,14958
3120091,본서부병원,CS200028,미용실,20.75,3290052.658531746,800172.5,33.59767297795443,1.25,39.7432019486271,14959
3120224,수서역,CS200028,미용실,8.0,23180941.958333332,243921.75,24.78224134528638,9.375,39.74254502509596,14960
3130249,동남상가,CS300011,일반의류,9.0,5346265.203703703,52539.0,45.900615099127975,2.7777777777777777,39.74198405668733,14961
3110163,성자초등학교,CS200001,일반교습학원,12.75,12462993.433226496,522566.25,26.58604839841884,4.006410256410256,39.741216415707115,14962
3110429,공릉동 국수거리,CS200005,스포츠 강습,4.25,391455.05000000005,1788134.75,31.667989555937865,0.0,39.73905373486861,14963
3120147,보라매역,CS200005,스포츠 강습,6.0,1036259.4452380952,1012775.0,37.3112446301685,0.0,39.73856657809271,14964
3120148,국회의사당역(국회의사당),CS300028,화초,14.25,3956565.6666666665,418386.25,43.25312436316155,3.4523809523809526,39.73678771774432,14965
3130233,남문시장,CS300008,수산물판매,6.0,12383817.0,151471.0,28.227673085499134,0.0,39.73448479480366,14966
3111077,길동주민센터(강동도서관),CS200003,예술학원,6.0,1013498.3226190476,3656834.0,26.53779826308849,15.0,39.730831118984355,14967
3120168,서울고교교차로,CS200001,일반교습학원,44.75,14162888.025800854,313647.0,31.447672507708592,3.3993243864325766,39.72993799822852,14968
3120139,대림3동사거리,CS100009,호프-간이주점,20.75,7332731.226313891,786919.5,27.717582612445,3.822055137844611,39.72931798051373,14969
3110236,신묵초등학교,CS200037,노래방,3.0,2429209.611111111,1593143.5,27.460340812679178,8.333333333333332,39.7248449955713,14970
3120105,상수역(홍대),CS200030,피부관리실,19.75,824756.8197786133,989360.0,56.117134056028185,5.137844611528822,39.72275612636552,14971
3110650,우장산힐스테이트,CS100001,한식음식점,6.5,38971837.10515873,68484.75,22.06350226765678,11.904761904761903,39.72228373191615,14972
3111030,방이역 2번,CS200031,세탁소,3.0,4715145.972222222,1229004.25,22.39765434968362,0.0,39.721656333038084,14973
3110664,강서구청옆,CS100009,호프-간이주점,4.5,4376269.004166666,244161.25,43.327220599583185,6.25,39.72140537348686,14974
3120071,성북구청,CS100003,일식음식점,4.0,3001950.4166666665,515880.75,41.87360754943248,6.25,39.71647475642162,14975
3111083,GS강동자이아파트,CS100001,한식음식점,21.0,7362076.738347763,1123762.75,23.011794898494365,3.6904761904761907,39.71487304399173,14976
3110158,중곡3동주민센터,CS300011,일반의류,12.25,1068755.6111596737,2773019.75,31.176863512454812,8.362470862470863,39.70740330676115,14977
3110612,신정역 5번,CS300003,컴퓨터및주변장치판매,4.0,311533.38888888893,2035310.0,30.50117832875107,0.0,39.70605255388249,14978
3111072,굽은다리역 1번(십자성마을),CS200031,세탁소,5.5,2458809.875,1814188.25,25.701071234778937,5.0,39.70160171242988,14979
3130067,왕십리도선동상점가,CS300022,화장품,12.75,826339.6853632479,1161695.5,42.33399180003636,3.8461538461538463,39.69937260112194,14980
